"" "Molecule" "Index" "OverlapGene" "GATA2_pval" "mean_wo_replacement_pvals" "mean_w_replacement_pvals"
"31" "Index126" 0.0840840840840841 "9" 0.0344404631083919 0.0298209777490801 0.0348459575957627
"32" "Index127" 0.609720176730486 "12" 0.0261267237247531 0.0302468943943692 0.0266324116966019
"33" "Index128" 0.0297029702970297 "29" 0.0433861464520462 0.0308793791280929 0.0454587438035038
"34" "Index129" 0.0106382978723404 "23" 0.0476731022370356 0.0310126520015508 0.0492874085768542
"35" "Index13" 0.0167464114832536 "43" 0.0480108760304432 0.0321001519391974 0.051353192364641
"36" "Index130" 0.0307692307692308 "4" 0.0363603164552757 0.0299303469441685 0.0364126853518479
"37" "Index131" 0.799196787148594 "5" 0.0286232961125146 0.029476351899784 0.028737067345647
"38" "Index132" 0 "9" 0.0554054565635742 0.0298682998720047 0.0557672866374083
"39" "Index133" 0.111111111111111 "3" 0.0324603855464265 0.0294618277179612 0.0326820105085679
"40" "Index134" 0.0617977528089888 "3" 0.0327144362409935 0.0297928976643464 0.032783375697574
"41" "Index135" 0.441613588110403 "114" 0.0366809284757732 0.0346447126922986 0.0414219674554053
"42" "Index136" 0.0781954887218045 "10" 0.0223888674354864 0.0301760211784993 0.0226545520692734
"43" "Index137" 0 "6" 0.052079363269345 0.0294279424572512 0.0526110976911164
"44" "Index138" 0.0421052631578947 "6" 0.0346698868481361 0.0298331191376536 0.0350747962391303
"45" "Index139" 0.145833333333333 "2" 0.0309898203622967 0.0294049877759955 0.0310047967384463
"46" "Index14" 0.391935483870968 "16" 0.0241206678601216 0.0303817645800746 0.0250129444962658
"47" "Index140" 0.0307692307692308 "2" 0.0355319919956567 0.0295278780502815 0.0355832905662142
"48" "Index141" 0.0265486725663717 "2" 0.0377736215602231 0.0295752033257891 0.0379108702778145
"49" "Index142" 0.4 "2" 0.0296083225295409 0.029602739631847 0.0296029639577372
"50" "Index143" 0.42741935483871 "2" 0.0292140810935471 0.0296200443654377 0.0293051780785325
"51" "Index144" 0.0141843971631206 "2" 0.036381599958822 0.0295339856787683 0.0364614253756282
